ArticleId,Name_x,Address,District,Institution Type,Women,Minority,Random,Name_y,State,Programme,University,Level of Course,Course,Shift,FullTime/PartTime,Intake,Enrollment,Placement
1-7001642452,UNIVERSITY INSTITUTE OF TECHNOLOGY RGPV SHAHDOL,"VILLAGE CHHATWAI, TEHSIL SUHAGPUR, DISTT.: SHAHDOL (M.P.)  484001",SHAHDOL,Government,N,N,1-4839845501,UNIVERSITY INSTITUTE OF TECHNOLOGY RGPV SHAHDOL,Madhya Pradesh,ENGINEERING AND TECHNOLOGY,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",UNDER GRADUATE,MECHANICAL ENGINEERING,1st Shift,FULL TIME,60,,
1-7001642452,UNIVERSITY INSTITUTE OF TECHNOLOGY RGPV SHAHDOL,"VILLAGE CHHATWAI, TEHSIL SUHAGPUR, DISTT.: SHAHDOL (M.P.)  484001",SHAHDOL,Government,N,N,1-4839845501,UNIVERSITY INSTITUTE OF TECHNOLOGY RGPV SHAHDOL,Madhya Pradesh,ENGINEERING AND TECHNOLOGY,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",UNDER GRADUATE,MINING ENGINEERING,1st Shift,FULL TIME,60,,
1-7001710190,MILLENNIUM INSTITUTE OF TECHNOLOGY,"NATHU BARKHERA ROAD, NEAR NEELBAD, BHOPAL",BHOPAL,Private-Self Financing,N,N,1-11405511,MILLENNIUM INSTITUTE OF TECHNOLOGY,Madhya Pradesh,ENGINEERING AND TECHNOLOGY,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",DIPLOMA,AIRCRAFT MAINTENANCE ENGINEERING,1st Shift,FULL TIME,60,,
1-7001710190,MILLENNIUM INSTITUTE OF TECHNOLOGY,"NATHU BARKHERA ROAD, NEAR NEELBAD, BHOPAL",BHOPAL,Private-Self Financing,N,N,1-11405511,MILLENNIUM INSTITUTE OF TECHNOLOGY,Madhya Pradesh,ENGINEERING AND TECHNOLOGY,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",DIPLOMA,CIVIL ENGINEERING,1st Shift,FULL TIME,120,,
1-7001710190,MILLENNIUM INSTITUTE OF TECHNOLOGY,"NATHU BARKHERA ROAD, NEAR NEELBAD, BHOPAL",BHOPAL,Private-Self Financing,N,N,1-11405511,MILLENNIUM INSTITUTE OF TECHNOLOGY,Madhya Pradesh,ENGINEERING AND TECHNOLOGY,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",DIPLOMA,MECHANICAL ENGINEERING,1st Shift,FULL TIME,60,,
1-7001710190,MILLENNIUM INSTITUTE OF TECHNOLOGY,"NATHU BARKHERA ROAD, NEAR NEELBAD, BHOPAL",BHOPAL,Private-Self Financing,N,N,1-11405511,MILLENNIUM INSTITUTE OF TECHNOLOGY,Madhya Pradesh,ENGINEERING AND TECHNOLOGY,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",POST GRADUATE,COMPUTER SCIENCE & ENGINEERING,1st Shift,FULL TIME,18,,
1-7001710190,MILLENNIUM INSTITUTE OF TECHNOLOGY,"NATHU BARKHERA ROAD, NEAR NEELBAD, BHOPAL",BHOPAL,Private-Self Financing,N,N,1-11405511,MILLENNIUM INSTITUTE OF TECHNOLOGY,Madhya Pradesh,ENGINEERING AND TECHNOLOGY,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",POST GRADUATE,CONSTRUCTION TECHNOLOGY AND MANAGEMENT,1st Shift,FULL TIME,24,,
1-7001710190,MILLENNIUM INSTITUTE OF TECHNOLOGY,"NATHU BARKHERA ROAD, NEAR NEELBAD, BHOPAL",BHOPAL,Private-Self Financing,N,N,1-11405511,MILLENNIUM INSTITUTE OF TECHNOLOGY,Madhya Pradesh,ENGINEERING AND TECHNOLOGY,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",POST GRADUATE,MACHINE DESIGN,1st Shift,FULL TIME,24,,
1-7001710190,MILLENNIUM INSTITUTE OF TECHNOLOGY,"NATHU BARKHERA ROAD, NEAR NEELBAD, BHOPAL",BHOPAL,Private-Self Financing,N,N,1-11405511,MILLENNIUM INSTITUTE OF TECHNOLOGY,Madhya Pradesh,ENGINEERING AND TECHNOLOGY,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",POST GRADUATE,THERMAL ENGINEERING,1st Shift,FULL TIME,18,,
1-7001710190,MILLENNIUM INSTITUTE OF TECHNOLOGY,"NATHU BARKHERA ROAD, NEAR NEELBAD, BHOPAL",BHOPAL,Private-Self Financing,N,N,1-11405511,MILLENNIUM INSTITUTE OF TECHNOLOGY,Madhya Pradesh,ENGINEERING AND TECHNOLOGY,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",UNDER GRADUATE,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,1st Shift,FULL TIME,30,,
